 	Area	StdDev	XM	YM	Slice
247	715	1776.195	290.083	134.546	83
248	484	5925.608	362.195	149.189	83
249	509	6137.390	433.741	151.199	83
250	922	1284.115	289.927	134.049	84
251	544	3046.174	362.161	148.773	84
252	565	3353.137	433.500	150.819	84
253	554	3019.917	290.903	134.613	85
254	451	8300.668	362.666	149.736	85
255	469	8345.721	434.268	152.036	85
256	715	1756.858	290.635	134.617	86
257	485	5984.848	362.550	149.752	86
258	518	6137.930	434.077	151.985	86
259	923	1282.939	290.468	134.244	87
260	547	3083.619	362.474	149.530	87
261	572	3304.288	433.811	151.800	87
262	564	2979.044	290.956	135.193	88
263	457	8265.250	362.853	150.159	88
264	467	8437.693	434.454	152.468	88
265	717	1733.827	290.695	134.937	89
266	486	5943.490	362.743	150.116	89
267	516	6164.026	434.214	152.475	89
268	928	1284.427	290.371	134.630	90
269	555	3104.641	362.522	149.975	90
270	570	3321.883	433.906	152.452	90
271	574	3076.019	290.577	136.396	91
272	452	8297.871	362.704	150.696	91
273	461	8395.280	434.348	153.078	91
274	713	1713.421	290.354	135.993	92
275	486	6000.040	362.654	150.574	92
276	521	6186.439	434.164	152.922	92
277	932	1277.997	290.066	135.681	93
278	550	3097.777	362.400	150.436	93
279	564	3340.377	433.851	152.795	93
280	578	3146.848	290.579	137.069	94
281	459	8275.601	362.830	151.260	94
282	469	8397.759	434.483	153.774	94
283	719	1690.683	290.412	136.849	95
284	487	6031.080	362.831	151.140	95
285	508	6201.058	434.347	153.535	95
286	933	1279.068	290.256	136.747	96
287	544	3127.767	362.569	151.076	96
288	560	3432.706	433.986	153.496	96
289	584	3084.592	290.201	137.536	97
290	454	8323.746	362.681	151.665	97
291	462	8522.951	434.290	154.035	97
292	722	1657.764	290.190	137.020	98
293	489	6046.397	362.618	151.428	98
294	520	6349.241	434.120	153.743	98
295	945	1274.284	290.088	136.857	99
296	545	3108.092	362.503	151.399	99
297	559	3444.293	433.911	153.794	99
298	585	3154.468	290.238	137.771	100
299	454	8320.637	362.725	152.179	100
300	466	8515.295	434.316	154.464	100
301	723	1695.715	290.196	137.092	101
302	487	6056.045	362.575	151.806	101
303	519	6339.888	434.115	154.091	101
304	937	1303.272	290.083	136.759	102
305	548	3145.116	362.396	151.693	102
306	559	3449.758	433.815	154.084	102
307	579	3193.396	290.401	137.408	103
308	453	8335.008	362.492	152.387	103
309	455	8582.742	434.127	154.714	103
310	719	1776.495	290.353	136.817	104
311	493	6067.865	362.431	152.099	104
312	509	6316.765	433.913	154.608	104
313	920	1337.619	290.238	136.213	105
314	539	3168.909	362.250	151.794	105
315	562	3482.842	433.630	154.274	105
316	575	3260.998	290.257	137.846	106
317	449	8432.593	362.456	152.788	106
318	454	8622.695	434.126	155.425	106
319	720	1804.281	290.102	137.389	107
320	490	6163.894	362.229	152.677	107
321	508	6407.820	433.765	155.410	107
322	925	1340.483	290.105	136.810	108
323	541	3181.186	362.158	152.326	108
324	560	3492.536	433.534	155.025	108
325	566	3361.067	290.296	137.324	109
326	446	8452.030	362.393	152.981	109
327	454	8603.440	434.031	155.905	109
328	717	1850.883	290.285	136.940	110
329	488	6170.673	362.161	152.960	110
330	514	6303.313	433.720	155.990	110
331	919	1323.104	290.156	136.578	111
332	542	3193.835	362.140	152.653	111
333	554	3453.710	433.505	155.465	111
334	569	3288.292	290.251	137.033	112
335	443	8487.239	362.245	153.123	112
336	454	8579.084	433.901	155.974	112
337	713	1796.162	290.251	136.477	113
338	488	6155.448	362.057	152.935	113
339	514	6390.643	433.582	156.121	113
340	927	1314.609	290.198	136.018	114
341	542	3204.870	361.987	152.727	114
342	557	3440.350	433.352	155.809	114
343	576	3243.602	290.368	137.156	115
344	444	8488.710	362.181	153.445	115
345	461	8544.380	433.818	156.720	115
346	711	1784.670	290.332	136.567	116
347	487	6168.193	362.052	153.112	116
348	512	6385.068	433.595	156.289	116
349	917	1304.498	290.278	136.180	117
350	542	3194.044	361.915	152.999	117
351	554	3450.443	433.292	156.262	117
352	574	3277.134	290.345	137.342	118
353	439	8536.414	362.191	153.497	118
354	458	8587.338	433.887	156.583	118
355	713	1790.590	290.319	136.993	119
356	487	6229.146	362.081	153.367	119
357	509	6417.100	433.640	156.488	119
358	921	1285.822	290.494	136.445	120
359	539	3230.271	361.974	153.206	120
360	555	3496.547	433.369	156.493	120
361	578	3260.613	289.989	137.616	121
362	434	8590.247	362.012	153.752	121
363	449	8695.979	433.598	157.057	121
364	718	1741.874	289.955	137.103	122
365	487	6299.304	361.860	153.409	122
366	514	6508.269	433.342	156.815	122
367	930	1272.657	290.211	136.651	123
368	535	3250.653	361.845	153.232	123
369	556	3508.603	433.162	156.739	123
370	572	3209.589	289.981	137.399	124
371	433	8569.271	362.036	154.008	124
372	453	8640.255	433.618	157.418	124
373	717	1741.124	290.029	137.044	125
374	488	6225.366	361.861	153.637	125
375	518	6408.848	433.321	157.020	125
376	932	1261.232	290.178	136.535	126
377	536	3228.790	361.816	153.378	126
378	559	3446.537	433.176	156.890	126
379	569	3324.769	289.982	137.216	127
380	438	8551.919	362.105	154.070	127
381	457	8572.993	433.709	157.506	127
382	706	1836.134	290.037	136.656	128
383	486	6239.586	361.933	153.685	128
384	516	6393.594	433.431	157.143	128
385	924	1298.067	290.192	135.965	129
386	529	3222.098	361.865	153.383	129
387	557	3489.419	433.195	156.784	129
388	566	3239.045	290.322	136.763	130
389	429	8615.914	362.149	153.870	130
390	454	8620.962	433.770	156.813	130
391	703	1828.280	290.183	136.367	131
392	491	6242.895	362.043	153.535	131
393	511	6347.985	433.565	156.578	131
394	927	1319.062	290.216	135.636	132
395	533	3245.354	361.957	153.097	132
396	554	3457.371	433.261	156.158	132
397	569	3185.793	290.256	136.656	133
398	430	8570.956	362.148	153.659	133
399	454	8620.595	433.758	156.482	133
400	711	1825.270	290.077	136.174	134
401	489	6216.375	361.986	153.450	134
402	515	6338.275	433.467	156.365	134
403	216	275.327	350.950	104.232	135
404	926	1330.488	290.060	135.494	135
405	541	3234.932	361.874	153.082	135
406	556	3402.011	433.211	155.926	135
407	571	3160.115	289.748	136.763	136
408	435	8530.383	361.954	153.513	136
409	459	8555.510	433.618	156.168	136
410	711	1754.072	289.625	136.492	137
411	491	6163.129	361.769	153.403	137
412	515	6289.352	433.254	156.171	137
413	941	1299.255	289.475	135.827	138
414	543	3222.680	361.564	153.107	138
415	561	3358.646	432.930	156.023	138
416	571	3229.525	289.475	136.629	139
417	437	8498.070	361.816	153.431	139
418	467	8501.924	433.463	156.394	139
419	717	1774.386	289.439	136.178	140
420	490	6172.220	361.763	153.260	140
421	514	6296.417	433.208	156.360	140
422	947	1297.608	289.249	135.781	141
423	541	3203.656	361.520	153.140	141
424	567	3421.450	432.876	156.054	141
425	569	3291.354	289.516	136.362	142
426	432	8509.268	361.842	152.863	142
